_id,translation,navnem,nutid,datid,førnutid,førdatid,bydem,bøj
251,lure,lokke,lokker,lokkede,har lokket,havde lokket,lok,b1
252,laws,love,lover,lovede,har lovet,havde lovet,lov,b1
253,close,lukke,lukker,lukkede,har lukket,havde lukket,luk,b1
254,sounds,lyde,lyder,lød,har lydt,havde lydt,lyd,uv
255,succeed,lykkes,lykkes,lykkedes,er lykkedes,var lykkedes,,uv
256,bright,lyse,lyser,lyste,har lyst,havde lyst,lys,b2
257,listen,lytte,lytter,lyttede,har lyttet,havde lyttet,lyt,b1
258,put ( tr. ),lægge (tr.),lægger,lagde,har lagt,havde lagt,læg,uv
259,learn,lære,lærer,lærte,har lært,havde lært,lær,b2
260,read,læse,læser,læste,har læst,havde læst,læs,b2
261,run,løbe,løber,løb,har / er løbet,havde / var løbet,løb,uv
262,lift,løfte,løfter,løftede,har løftet,havde løftet,løft,b1
263,solve,løse,løser,løste,har løst,havde løst,løs,b2
264,loan,låne,låner,lånte,har lånt,havde lånt,lån,b2
265,paint,male,maler,malede,har malet,havde malet,mal,b1
266,missing,mangle,mangler,manglede,har manglet,havde manglet,,b1
267,grant,meddele,meddeler,meddelte,har meddelt,havde meddelt,meddel,b2
268,cause,medføre,medfører,medførte,har medført,havde medført,medfør,b2
269,help,medvirke,medvirker,medvirkede,har medvirket,havde medvirket,medvirk,b1
270,report,melde,melder,meldte,har meldt,havde meldt,meld,b2
271,think,mene,mener,mente,har ment,havde ment,men,b2
272,memorial,minde,minder,mindede,har mindet,havde mindet,mind,b1
273,lose,miste,mister,mistede,har mistet,havde mistet,mist,b1
274,receive,modtage,modtager,modtog,har modtaget,havde modtaget,modtag,uv
275,murder,myrde,myrder,myrdede,har myrdet,havde myrdet,myrd,b1
276,brand,mærke,mærker,mærkede,har mærket,havde mærket,mærk,b1
277,meeting,møde,møder,mødte,har mødt,havde mødt,mød,b2
278,meet,mødes,mødes,mødtes,har mødtes,havde mødtes,,uv
279,measurement,måle,måler,målte,har målt,havde målt,mål,b2
280,had,måtte,må,måtte,har måttet,havde måttet,,uv
281,resign,nedlægge,nedlægger,nedlagde,har nedlagt,havde nedlagt,nedlæg,uv
282,decrease,nedsætte,nedsætter,nedsatte,har nedsat,havde nedsat,nedsæt,uv
283,nod,nikke,nikker,nikkede,har nikket,havde nikket,nik,b1
284,note,notere,noterer,noterede,har noteret,havde noteret,noter,b1
285,enjoy,nyde,nyder,nød,har nydt,havde nydt,nyd,uv
286,refuse,nægte,nægter,nægtede,har nægtet,havde nægtet,nægt,b1
287,approach,nærme sig,nærmer sig,nærmede sig,har nærmet  sig,nærmethavde sig,nærm dig,b1
288,just,nøjes med,nøjes med,nøjedes med,har nøjedes,havde nøjedesmed,nøjes med,uv
289,reach,nå,når,nåede,har nået,havde nået,nå,b1
290,publish,offentliggøre,offentliggør,offentlig-gjorde,har offentlig-gjort,havde offentlig-gjort,offentlig-gør,uv
291,include,omfatte,omfatter,omfattede,har omfattet,havde omfattet,omfat,b1
292,surround,omgive,omgiver,omgav,har omgivet,havde omgivet,omgiv,uv
293,build,opbygge,opbygger,opbyggede,har opbygget,havde opbygget,opbyg,b1
294,discover,opdage,opdager,opdagede,har opdaget,havde opdaget,opdag,b1
295,operate,operere,opererer,opererede,har opereret,havde opereret,operer,b1
296,perceive,opfatte,opfatter,opfattede,har opfattet,havde opfattet,opfat,b1
297,invent,opfinde,opfinder,opfandt,har opfundet,havde opfundet,opfind,uv
298,encourage,opfordre,opfordrer,opfordrede,har opfordret,havde opfordret,opfordr,b1
299,meet,opfylde,opfylder,opfyldte,har opfyldt,havde opfyldt,opfyld,b2
300,behave,opføre,opfører,opførte,har opført,havde opført,opfør,b2
301,give up,opgive,opgiver,opgav,har opgivet,havde opgivet,opgiv,uv
302,lift,ophæve,ophæver,ophævede,har ophævet,havde ophævet,ophæv,b1
303,experience,opleve,oplever,oplevede,har oplevet,havde oplevet,oplev,b1
304,state,oplyse,oplyser,oplyste,har oplyst,havde oplyst,oplys,b2
305,achieve,opnå,opnår,opnåede,har opnået,havde opnået,opnå,b1
306,create,oprette,opretter,oprettede,har oprettet,havde oprettet,opret,b1
307,set,opstille,opstiller,opstillede,har opstillet,havde opstillet,opstil,b1
308,occur,opstå,opstår,opstod,er opstået,var opstået,opstå,uv
309,record,optage,optager,optog,har optaget,havde optaget,optag,uv
310,act,optræde,optræder,optrådte,har optrådt,havde optrådt,optræd,uv
311,orient,orientere,orienterer,orienterede,har orienteret,havde orienteret,orienter,b1
312,convince,overbevise,overbeviser,overbeviste,har overbevist,havde overbevist,overbevis,b2
313,transfer,overføre,overfører,overførte,har overført,havde overført,overfør,b2
314,comply,overholde,overholder,overholdt,har overholdt,havde overholdt,overhold,uv
315,leave,overlade,overlader,overlod,har overladt,havde overladt,overlad,uv
316,survive,overleve,overlever,overlevede,har overlevet,havde overlevet,overlev,b1
317,surprise,overraske,overrasker,overraskede,har overrasket,havde overrasket,overrask,b1
318,over,overtage,overtager,overtog,har overtaget,havde overtaget,overtag,uv
319,consider,overveje,overvejer,overvejede,har overvejet,havde overvejet,overvej,b1
320,package,pakke,pakker,pakkede,har pakket,havde pakket,pak,b1
321,fit,passe,passer,passede,har passet,havde passet,pas,b1
322,point,pege,peger,pegede,har peget,havde peget,peg,b1
323,place,placere,placerer,placerede,har placeret,havde placeret,placer,b1
324,plan,planlægge,planlægger,planlagde,har planlagt,havde planlagt,planlæg,uv
325,care,pleje,plejer,plejede,har plejet,havde plejet,plej,b1
326,press,presse,presser,pressede,har presset,havde presset,pres,b1
327,produce,producere,producerer,producerede,har produceret,havde produceret,producer,b1
328,influence,præge,præger,prægede,har præget,havde præget,præg,b1
329,present,præsentere,præsenterer,præsenterede,har præsenteret,havde præsenteret,præsenter,b1
330,specimen,prøve,prøver,prøvede,har prøvet,havde prøvet,prøv,b1
331,polish,pudse,pudser,pudsede,har pudset,havde pudset,puds,b1
332,affect,påvirke,påvirker,påvirkede,har påvirket,havde påvirket,påvirk,b1
333,frame,ramme,rammer,ramte,har ramt,havde ramt,ram,b2
334,react,reagere,reagerer,reagerede,har reageret,havde reageret,reager,b1
335,save,redde,redder,reddede,har reddet,havde reddet,red,b1
336,reducing,reducere,reducerer,reducerede,har reduceret,havde reduceret,reducer,b1
337,register,registrere,registrerer,registrerede,har registreret,havde registreret,registrer,b1
338,count,regne,regner,regnede,har regnet,havde regnet,regn,b1
339,travel,rejse,rejser,rejste,har / er rejst,havde / var rejst,rejs,b2
340,clean,rense,renser,rensede,har renset,havde renset,rens,b1
341,represent,repræsentere,repræsen-terer,repræsen-terede,har repræsen-teret,havde repræsen-teret,repræsen-ter,b1
342,respect,respektere,respekterer,respekterede,har respekteret,havde respekteret,respekter,b1
343,right,rette,retter,rettede,har rettet,havde rettet,ret,b1
344,ride,ride,rider,red,har redet,havde redet,rid,uv
345,call,ringe,ringer,ringede,har ringet,havde ringet,ring,b1
346,risk,risikere,risikerer,risikerede,har risikeret,havde risikeret,risiker,b1
347,tear,rive,river,rev,har revet,havde revet,riv,uv
348,rose,rose,roser,roste,har rost,havde rost,ros,b2
349,roll,rulle,ruller,rullede,har / er rullet,havde / var rullet,rul,b1
350,accommodate,rumme,rummer,rummede,har rummet,havde rummet,rum,b1
351,clear,rydde,rydder,ryddede,har ryddet,havde ryddet,ryd,b1
352,smoking,ryge,ryger,røg,har røget,havde røget,ryg,uv
353,move,rykke,rykker,rykkede,har rykket,havde rykket,ryk,b1
354,shake,ryste,ryster,rystede,har rystet,havde rystet,ryst,b1
355,number,række,rækker,rakte,har rakt,havde rakt,ræk,uv
356,touch,røre,rører,rørte,har rørt,havde rørt,rør,b2
357,shout,råbe,råber,råbte,har råbt,havde råbt,råb,b2
358,advise,råde,råder,rådede,har rådet,havde rådet,råd,b1
359,pick,samle,samler,samlede,har samlet,havde samlet,saml,b1
360,compare,sammenligne,sammen-ligner,sammen-lignede,har sammen-lignet,havde sammen-lignet,sammen-lign,b1
361,bet,satse,satser,satsede,har satset,havde satset,sats,b1
362,miss,savne,savner,savnede,har savnet,havde savnet,savn,b1
363,see,se,ser,så,har set,havde set,se,uv
364,sailing,sejle,sejler,sejlede,har sejlet,havde sejlet,sejl,b1
365,send,sende,sender,sendte,har sendt,havde sendt,send,b2
366,servers,servere,serverer,serverede,har serveret,havde serveret,server,b1
367,seen,ses,ses,sås,har sets,havde sets,,uv
368,sit,sidde,sidder,sad,har siddet,havde siddet,sid,uv
369,say,sige,siger,sagde,har sagt,havde sagt,sig,uv
370,ensure,sikre,sikrer,sikrede,har sikret,havde sikret,sikr,b1
371,create,skabe,skaber,skabte,har skabt,havde skabt,skab,b2
372,damage,skade,skader,skadede,har skadet,havde skadet,skad,b1
373,provide,skaffe,skaffer,skaffede,har skaffet,havde skaffet,skaf,b1
374,spoon,ske,sker,skete,er sket,var sket,ske,b2
375,switch,skifte,skifter,skiftede,har skiftet,havde skiftet,skift,b1
376,shine,skinne,skinner,skinnede,har skinnet,havde skinnet,skin,b1
377,hide,skjule,skjuler,skjulte,har skjult,havde skjult,skjul,b2
378,scream,skrige,skriger,skreg,har skreget,havde skreget,skrig,uv
379,write,skrive,skriver,skrev,har skrevet,havde skrevet,skriv,uv
380,scare,skræmme,skræmmer,skræmte,har skræmt,havde skræmt,skræm,b2
381,push,skubbe,skubber,skubbede,har skubbet,havde skubbet,skub,b1
382,drawer,skuffe,skuffer,skuffede,har skuffet,havde skuffet,skuf,b1
383,should,skulle,skal,skulle,har skullet,havde skullet,,uv
384,shoot,skyde,skyder,skød,har skudt,havde skudt,skyd,uv
385,due,skyldes,skyldes,skyldtes,har skyldtes,havde skyldtes,,uv
386,cut,skære,skærer,skar,har skåret,havde skåret,skær,uv
387,release,slippe,slipper,slap,har / ersluppet,havdesluppet/ var,slip,uv
388,off,slukke,slukker,slukkede,er slukket,var slukket,sluk,b1
389,join,slutte,slutter,sluttede,er sluttet,var sluttet,slut,b1
390,beat,slå,slår,slog,har slået,havde slået,slå,uv
391,fight,slås,slås,sloges,har sloges,havde sloges,slås,uv
392,taste,smage,smager,smagte,har smagt,havde smagt,smag,b2
393,throw,smide,smider,smed,har smidt,havde smidt,smid,b2
394,smile,smile,smiler,smilede,har smilet,havde smilet,smil,b1
395,infection,smitte,smitter,smittede,har smittet,havde smittet,smit,b1
396,talk,snakke,snakker,snakkede,har snakket,havde snakket,snak,b1
397,sleep,sove,sover,sov,har sovet,havde sovet,sov,uv
398,save,spare,sparer,sparede,har sparet,havde sparet,spar,b1
399,play,spille,spiller,spillede,har spillet,havde spillet,spil,b1
400,eat,spise,spiser,spiste,har spist,havde spist,spis,b2
401,spread,sprede,spreder,spredte,har spredt,havde spredt,spred,b2
402,skip,springe,springer,sprang,sprungethar / er,havdesprunget/ var,spring,uv
403,ask,spørge,spørger,spurgte,har spurgt,havde spurgt,spørg,uv
404,strain,stamme,stammer,stammede,har stammet,havde stammet,stam,b1
405,stop,standse,standser,standsede,standsethar / er,havdestandset/ var,stands,b1
406,start,starte,starter,startede,har / er startet,havde / var startet,start,b1
407,vote,stemme,stemmer,stemte,har stemt,havde stemt,stem,b2
408,roast,stege,steger,stegte,har stegt,havde stegt,steg,uv
409,increase,stige,stiger,steg,er steget,var steget,stig,uv
410,sting,stikke,stikker,stak,har stukket,havde stukket,stik,uv
411,elope,stikke af,stikker af,stak af,er stukket af,var stukket af,stik af,uv
412,quiet,stille,stiller,stillede,har stillet,havde stillet,stil,b1
413,steal,stjæle,stjæler,stjal,har stjålet,havde stjålet,stjæl,uv
414,trust,stole på,stoler på,stolede på,har stolet på,havde stolet på,stol på,b1
415,stop,stoppe,stopper,stoppede,har / er stoppet,havdestoppet/ var,stop,b1
416,criminal,straffe,straffer,straffede,har straffet,havde straffet,straf,b1
417,tight,stramme,strammer,strammede,har strammet,havde strammet,stram,b1
418,stretch,strække,strækker,strakte,har strakt,havde strakt,stræk,uv
419,study,studere,studerer,studerede,har studeret,havde studeret,studer,b1
420,control,styre,styrer,styrede,har styret,havde styret,styr,b1
421,strength,styrke,styrker,styrkede,har styrket,havde styrket,styrk,b1
422,encounter,støde,støder,stødte,stødthar,havdestødt,stød,b2
423,encountering,støde på,støder på,stødte på,er stødt på,var stødt på,stød på,b2
424,support,støtte,støtter,støttede,har støttet,havde støttet,støt,b1
425,stand,stå,står,stod,har stået,havde stået,stå,uv
426,rise,stå op,står op,stod op,er stået op,var stået op,stå op,uv
427,reply,svare,svarer,svarede,har svaret,havde svaret,svar,b1
428,fail,svigte,svigter,svigtede,har sviget,havde svigtet,svigt,b1
429,swing,svinge,svinger,svingede,har svinget,havde svinget,sving,b1
430,sew,sy,syr,syede,har syet,havde syet,sy,b1
431,seems,synes,synes,syntes,har syntes,havde syntes,synes,uv
432,sing,synge,synger,sang,har sunget,havde sunget,syng,uv
433,sink,synke,synker,sank,er sunket,var sunket,synk,uv
434,sell,sælge,sælger,solgte,har solgt,havde solgt,sælg,uv
435,lower,sænke,sænker,sænkede,har sænket,havde sænket,sænk,b1
436,put,sætte,sætter,satte,har sat,havde sat,sæt,uv
437,search,søge,søger,søgte,har søgt,havde søgt,søg,b2
438,ensure,sørge for,sørger for,sørgede for,har sørget for,havde sørget for,sørg for,b1
439,lose,tabe,taber,tabte,har tabt,havde tabt,tab,b2
440,take,tage,tager,tog,har taget,havde taget,tag,uv
441,go home,tage hjem,tager hjem,tog hjem,er taget hjem,var taget hjem,tag hjem,uv
442,thank,takke,takker,takkede,har takket,havde takket,tak,b1
443,speech,tale,taler,talte,har talt,havde talt,tal,b2
444,draw,tegne,tegner,tegnede,har tegnet,havde tegnet,tegn,b1
445,spend,tilbringe,tilbringer,tilbragte,har tilbragt,havde tilbragt,tilbring,uv
446,offer,tilbyde,tilbyder,tilbød,har tilbudt,havde tilbudt,tilbyd,uv
447,add,tilføje,tilføjer,tilføjede,har tilføjet,havde tilføjet,tilføj,b1
448,belong,tilhøre,tilhører,tilhørte,har tilhørt,havde tilhørt,,b2
449,allow,tillade,tillader,tillod,har tilladt,havde tilladt,tillad,uv
450,serve,tjene,tjener,tjente,har tjent,havde tjent,tjen,b2
451,faith,tro,tror,troede,har troet,havde troet,tro,b1
452,TRUE,TRUE,truer,truede,har truet,havde truet,tru,b1
453,press,trykke,trykker,trykkede,har trykket,havde trykket,tryk,b1
454,step,træde,træder,trådte,har trådt,havde trådt,træd,uv
455,take,træffe,træffer,traf,har truffet,havde truffet,træf,uv
456,draw,trække,trækker,trak,har trukket,havde trukket,træk,uv
457,penetrate,trænge,trænger,trængte,har trængt,havde trængt,træng,b2
458,penetrate,trænge ind,trænger ind,trængte ind,er trængt ind,var trængt ind,træng ind,b2
459,dare,turde,tør,turde,har turdet,havde turdet,,uv
460,force,tvinge,tvinger,tvang,har tvunget,havde tvunget,tving,uv
461,clearly,tyde,tyder,tydede,har tydet,havde tydet,tyd,b1
462,count,tælle,tæller,talte,har talt,havde talt,tæl,uv
463,turn,tænde,tænder,tændte,har tændt,havde tændt,tænd,b2
464,think,tænke,tænker,tænkte,har tænkt,havde tænkt,tænk,b2
465,empty,tømme,tømmer,tømte,har tømt,havde tømt,tøm,b2
466,dry,tørre,tørrer,tørrede,har tørret,havde tørret,tør,b1
467,tolerate,tåle,tåler,tålte,har tålt,havde tålt,tål,b2
468,prepare,udarbejde,udarbejder,udarbejdede,har udarbejdet,havde udarbejdet,,b1
469,spread,udbrede,udbreder,udbredte,har udbredt,havde udbredt,udbred,b2
470,train,uddanne,uddanner,uddannede,har uddannet,havde uddannet,uddan,b1
471,exclude,udelukke,udelukker,udelukkede,har udelukket,havde udelukket,udeluk,b1
472,perform,udføre,udfører,udførte,har udført,havde udført,udfør,uv
473,publisher,udgive,udgiver,udgav,har udgivet,havde udgivet,udgiv,uv
474,be,udgøre,udgør,udgjorde,har udgjort,havde udgjort,udgør,uv
475,livelihood,udkomme,udkommer,udkom,er udkommet,var udkommet,,uv
476,disclose,udlevere,udleverer,udleverede,har udleveret,havde udleveret,udlever,b1
477,trigger,udløse,udløser,udløste,har udløst,havde udløst,udløs,b2
478,exploit,udnytte,udnytter,udnyttede,har udnyttet,havde udnyttet,udnyt,b1
479,equip,udstyre,udstyrer,udstyrede,har udstyret,havde udstyret,udstyr,b1
480,expose,udsætte,udsætter,udsatte,har udsat,havde udsat,udsæt,uv
481,pronunciation,udtale,udtaler,udtalte,har udtalt,havde udtalt,udtal,b2
482,express,udtrykke,udtrykker,udtrykte,har udtrykt,havde udtrykt,udtryk,b2
483,expand,udvide,udvider,uvidede,har udvidet,havde udvidet,udvid,b1
484,develop,udvikle,udvikler,udviklede,har udviklet,havde udviklet,udvikl,b1
485,entertain,underholde,underholder,underholdt,har underholdt,havde underholdt,underhold,uv
486,stress,understrege,under-streger,stregedeunder-,har under-streget,havde under-streget,under-streg,b1
487,investigate,undersøge,undersøger,undersøgte,har undersøgt,havde undersøgt,undersøg,b2
488,avoid,undgå,undgår,undgik,har undgået,havde undgået,undgå,b2
489,wonder,undre sig,undrer sig,undrede sig,har undret sig,havde undret sig,undr dig,b1
490,vaccination,vaccinere,vaccinerer,vaccinerede,har vaccineret,havde vaccineret,vacciner,b1
491,product,vare,varer,varede,har varet,havde varet,var,b1
492,vary,variere,varierer,varierede,har varieret,havde varieret,varier,b1
493,wash,vaske,vasker,vaskede,har vasket,havde vasket,vask,b1
494,adopt,vedtage,vedtager,vedtog,har vedtaget,havde vedtaget,vedtag,uv
495,roads,veje,vejer,vejede,har vejet,havde vejet,vej,b1
496,turn,vende,vender,vendte,har vendt,havde vendt,vend,b2
497,wait,vente,venter,ventede,har ventet,havde ventet,vent,b1
498,know,vide,ved,vidste,har vidst,havde vidst,vid,uv
499,would,ville,vil,ville,har villet,havde villet,vil,uv
500,win,vinde,vinder,vandt,har vundet,havde vundet,vind,uv
501,work,virke,virker,virkede,har virket,havde virket,virk,b1
502,show,vise,viser,viste,har vist,havde vist,vis,b2
503,grow,vokse,vokser,voksede,er vokset,var vokset,voks,b1
504,assess,vurdere,vurderer,vurderede,har vurderet,havde vurderet,vurder,b1
505,arouse,vække,vækker,vækkede,har vækket,havde vækket,væk,b1
506,choose,vælge,vælger,valgte,har valgt,havde valgt,vælg,uv
507,overthrow,vælte,vælter,væltede,har væltet,havde væltet,vælt,b1
508,be,være,er,var,har været,havde været,vær,uv
509,wake,vågne,vågner,vågnede,er vågnet,var vågnet,vågn,b1
510,provide,yde,yder,ydede,har ydet,havde ydet,yd,b1
511,change,ændre,ændrer,ændrede,har ændret,havde ændret,ændr,b1
512,destroy,ødelægge,ødelægger,ødelagde,har ødelagt,havde ødelagt,ødelæg,uv
513,increase,øge,øger,øgede,har øget,havde øget,øg,
514,desire,ønske,ønsker,ønskede,har ønsket,havde ønsket,ønsk,
515,open,åbne,åbner,åbnede,har åbnet,havde åbnet,åbn,
